"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"P001",0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0
"P002",0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1
"P003",0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1
"P004",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"P005",1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0
"P006",0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1
"P007",1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1
"P008",1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0
"P009",0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
"P010",0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1
"P011",0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1
"P012",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"P013",1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1
"P014",0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"P015",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P016",1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0
"P017",1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"P018",1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0
"P019",0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0
"P020",1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0
"P021",0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"P022",1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0
"P023",1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0
"P024",1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0
"P025",0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
"P026",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
"P027",0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0
"P028",1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0
"P029",0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1
"P030",0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0
"P031",0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1
"P032",1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
"P033",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"P034",1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1
"P035",0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"P036",0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
"P037",0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0
"P038",1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"P039",1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1
"P040",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"P041",1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0
"P042",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P043",1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0
"P044",1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"P045",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0
"P046",1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1
